title price
"Vũ Khí Bóng Đêm - Phần 6 - Lửa Thiên Đàng" 129210
"Chúng Ta Rồi Sẽ Ổn Thôi" 68800
"Khu Vườn Ngôn Từ" 76000
"Combo Khu Vườn Ngôn Từ - 5 Centimét Trên Giây" 112365
"Thế Giới Hoang Dã - Animorphia" 65520
"Thương Hồn" 57750
"Trong Gia Đình" 66750
"Đỏ Và Đen" 96250
"Tình Đầu, Tình Cuối, Những Mối Tình" 45260
"Số Đỏ (Tái Bản 2015)" 30800
"Truyện Trạng Cười Việt Nam" 50050
"Trọn Đời Bên Em" 101470
"Phượng Tù Hoàng - Tập 1" 97500
"Blog Của May - Anh Là Gia Vị Đời Em" 
"Hồ Chí Minh - Nhật Ký Trong Tù" 44200
"Bong Bóng Mùa Hè - Tập 2 - Sợi Ren Lụa Màu Xanh" 88500
"Bong Bóng Mùa Hè - Tập 3 - Áo Cưới " 90000
"Cho Tôi Xin Một Vé Đi Tuổi Thơ (Tái Bản 2015)" 50400
"Tôi Là Bêtô (Tái Bản 2015)" 48000
"Ruồi Trâu" 81000
"Chúa Đá Zaggla -Tập 1 - Tộc Người Ánh Sáng" 83160
"Chúa Đá Zaggla - Tập 2 - Trận Quyết Đấu Với Quái Vật Ba Chân" 83160
"Cho Em Những Bình Yên" 45260
"Người Tình Hoa Bắc" 61500
"Nhật Ký Của Pink" 41400
"Và Thế Là Chúng Ta Tiêu" 84000
"Công Lí Cho Ai" 94250
"Long Duyên - Tập 1" 94400
"Long Duyên - Tập 2" 94080
"Eleanor & Park – Này Tình Đầu Ngọt Ngào, Sao Mi Đắng Thế?" 88500
"All In Love – Ngập Tràn Yêu Thương" 90860
"Nguyễn Nhật Ánh Và Tôi" 54270
"Sống Đẳng Cấp" 54510
"Thác Loạn Ở Las Vegas" 98400
"Thử Ly Hôn" 91250
"Nhân Chứng Đã Chết" 68000
"Trái Tim Secondhand" 71760
"Bí Mật Của Ella Và Micha" 57600
"Cô Gái Văn Chương – Tập 5: Cô Gái Văn Chương Và Người Hành Hương Than Khóc" 59040
"Cọ Hoang" 80300
"Đám Cưới Trong Mơ" 43500
"Trăng Đêm" 96750
"Cô Ba Thi Và Hột Gạo" 40000
"Cuộc Phiêu Lưu Cuối Cùng Của Feynman" 98400
"Anh Khát Khao Em" 94400
"Bí Mật Tội Lỗi" 79570
"Như Một Dòng Chảy Ngược, Sinh Ra Để Cô Đơn" 50050
"5 Centimet Trên Giây" 37500
"Ngày Mai Tôi Sẽ Khác" 72000
"Tào Tháo_Thánh Nhân Đê Tiện_Tập 4" 143650
"Thầy Phù Thủy Đi Trong Thành Phố" 
"Sự Hy Sinh Của Thầy Trừ Tà" 59130
"Những Kẻ Vô Diện" 67890
"Thỏ Bảy Màu - Timeline Của Tui Có Gì" 
"Đêm Hội Long Trì" 31200
"Trước Ngày Em Đến" 123000
"Sợi Tơ Nhện" 72980
"Những Tạo Vật Hoàn Mỹ - Phần 1 Series Gia Tộc Huyền Bí" 108770
"Mút Mùa Lệ Thủy" 35100
"Những Cuộc Phiêu Lưu Của Tomsawyer" 64970
"Vạn Dặm Tìm Chồng_Tập 2" 83930
"Vạn Dặm Tìm Chồng_Tập 3" 83930
"Trước Vòng Chung Kết - Tái Bản 2014" 54560
"Chào Mừng Đến Với NHK" 60000
"Gió Đời Thổi Mãi" 47400
"Xương Bồ Chí Dị Hệ Liệt Chi Dạ Đàm Bồng Lai Điếm" 46610
"Xương Bồ Chí Dị Hệ Liệt Chi Tương Tư Môn" 68530
"Sách Song Ngữ - Cây Cối Quê Hương" 18700
"Cuộc Săn Lùng Quái Vật - Phần 3 - Người Núi Khổng Lồ Arcta" 25550
"Sword Art Online 002 (Sao 2) - Tập 2- AINCRAD" 71250
